rs_id All HDL_CRP HDL_LDL
rs3764261 3.115800e-01 2.610400e-31 6.167100e-31
rs1532624 5.934000e-01 7.134300e-24 1.286400e-23
rs2794520 2.936500e-13 4.404900e-22 3.241900e-01
rs7499892 3.460300e-02 3.303200e-16 1.553200e-16
rs2592887 3.707500e-10 6.883400e-17 9.482500e-02
rs646776 5.625600e-02 6.116800e-02 2.055800e-14
rs1532085 9.795800e-01 2.046400e-11 2.626800e-11
rs1811472 6.488000e-10 1.028000e-14 1.075200e-01
rs12093699 3.487700e-08 2.803100e-14 8.704700e-01
rs2650000 2.150800e-06 3.117800e-11 4.840500e-01
